season,division,matchday,date,time,home_team,away_team,score
1965-1966,2,6,10/10/65,NULL,Real Oviedo,CF Badalona,4:0
1965-1966,2,6,10/10/65,NULL,Burgos CF,Real Gijón,3:2
1965-1966,2,6,10/10/65,NULL,Racing,UP Langreo,3:2
1965-1966,2,6,10/10/65,NULL,Baracaldo,Dep. La Coruña,0:2
1965-1966,2,6,10/12/65,NULL,Indauchu,CD Condal,5:3
1965-1966,2,7,10/17/65,NULL,CE Europa,Burgos CF,3:1
1965-1966,2,7,10/17/65,NULL,CD Condal,Racing,4:1
1965-1966,2,7,10/17/65,NULL,CF Badalona,CE L’Hospitalet,1:0
1965-1966,2,7,10/17/65,NULL,Real Sociedad,Lérida,2:1
1965-1966,2,7,10/17/65,NULL,UP Langreo,Baracaldo,3:2
1965-1966,2,7,10/17/65,NULL,Dep. La Coruña,Real Oviedo,0:0
1965-1966,2,7,10/17/65,NULL,Real Gijón,Indauchu,1:1
1965-1966,2,7,10/17/65,NULL,Celta de Vigo,CA Osasuna,3:1
1965-1966,2,8,10/31/65,NULL,CE L’Hospitalet,Dep. La Coruña,1:3
1965-1966,2,8,10/31/65,NULL,CA Osasuna,CF Badalona,2:0
1965-1966,2,8,10/31/65,NULL,Indauchu,CE Europa,2:0
1965-1966,2,8,10/31/65,NULL,Baracaldo,CD Condal,0:2
1965-1966,2,8,10/31/65,NULL,Celta de Vigo,Lérida,3:0
1965-1966,2,8,10/31/65,NULL,Racing,Real Gijón,0:0
1965-1966,2,8,10/31/65,NULL,Real Oviedo,UP Langreo,2:0
1965-1966,2,8,10/31/65,NULL,Burgos CF,Real Sociedad,2:1
1965-1966,2,9,11/14/65,NULL,CF Badalona,Celta de Vigo,2:1
1965-1966,2,9,11/14/65,NULL,CE Europa,Racing,0:0
1965-1966,2,9,11/14/65,NULL,Lérida,Burgos CF,3:3
1965-1966,2,9,11/14/65,NULL,CD Condal,Real Oviedo,1:3
1965-1966,2,9,11/14/65,NULL,UP Langreo,CE L’Hospitalet,4:2
1965-1966,2,9,11/14/65,NULL,Real Gijón,Baracaldo,7:1
1965-1966,2,9,11/14/65,NULL,Dep. La Coruña,CA Osasuna,4:0
1965-1966,2,9,11/14/65,NULL,Real Sociedad,Indauchu,4:1
1965-1966,2,10,11/21/65,NULL,CE L’Hospitalet,CD Condal,2:0
1965-1966,2,10,11/21/65,NULL,CF Badalona,Lérida,1:1
1965-1966,2,10,11/21/65,NULL,Baracaldo,CE Europa,4:1
1965-1966,2,10,11/21/65,NULL,Racing,Real Sociedad,2:0
1965-1966,2,10,11/21/65,NULL,CA Osasuna,UP Langreo,0:2
1965-1966,2,10,11/21/65,NULL,Real Oviedo,Real Gijón,1:0
1965-1966,2,10,11/21/65,NULL,Indauchu,Burgos CF,2:1
1965-1966,2,10,11/21/65,NULL,Celta de Vigo,Dep. La Coruña,0:0
1965-1966,2,11,11/28/65,NULL,CE Europa,Real Oviedo,1:0
1965-1966,2,11,11/28/65,NULL,CD Condal,CA Osasuna,2:0
1965-1966,2,11,11/28/65,NULL,Indauchu,Lérida,1:1
1965-1966,2,11,11/28/65,NULL,Real Gijón,CE L’Hospitalet,3:0
1965-1966,2,11,11/28/65,NULL,Dep. La Coruña,CF Badalona,4:0
1965-1966,2,11,11/28/65,NULL,Burgos CF,Racing,1:1
1965-1966,2,11,11/28/65,NULL,UP Langreo,Celta de Vigo,0:2
1965-1966,2,11,11/28/65,NULL,Real Sociedad,Baracaldo,2:0
1965-1966,2,12,12/5/65,NULL,CE L’Hospitalet,CE Europa,3:1
1965-1966,2,12,12/5/65,NULL,CF Badalona,UP Langreo,4:1
1965-1966,2,12,12/5/65,NULL,Celta de Vigo,CD Condal,3:0
1965-1966,2,12,12/5/65,NULL,Lérida,Dep. La Coruña,1:1
1965-1966,2,12,12/5/65,NULL,Real Oviedo,Real Sociedad,2:2
1965-1966,2,12,12/5/65,NULL,CA Osasuna,Real Gijón,3:2
1965-1966,2,12,12/5/65,NULL,Racing,Indauchu,6:3
1965-1966,2,12,12/5/65,NULL,Baracaldo,Burgos CF,0:2
1965-1966,2,13,12/12/65,NULL,CE Europa,CA Osasuna,4:0
1965-1966,2,13,12/12/65,NULL,CD Condal,CF Badalona,4:1
1965-1966,2,13,12/12/65,NULL,Lérida,Racing,2:0
1965-1966,2,13,12/12/65,NULL,Real Sociedad,CE L’Hospitalet,2:0
1965-1966,2,13,12/12/65,NULL,Real Gijón,Celta de Vigo,1:1
1965-1966,2,13,12/12/65,NULL,UP Langreo,Dep. La Coruña,1:0
1965-1966,2,13,12/12/65,NULL,Burgos CF,Real Oviedo,1:2
1965-1966,2,13,12/12/65,NULL,Indauchu,Baracaldo,2:1
1965-1966,2,14,12/19/65,NULL,CF Badalona,Real Gijón,2:0
1965-1966,2,14,12/19/65,NULL,CE L’Hospitalet,Burgos CF,0:1
1965-1966,2,14,12/19/65,NULL,Dep. La Coruña,CD Condal,2:1
1965-1966,2,14,12/19/65,NULL,Celta de Vigo,CE Europa,3:0
1965-1966,2,14,12/19/65,NULL,Baracaldo,Racing,0:1
1965-1966,2,14,12/19/65,NULL,Real Oviedo,Indauchu,1:0
1965-1966,2,14,12/19/65,NULL,CA Osasuna,Real Sociedad,1:0
1965-1966,2,14,12/21/65,NULL,UP Langreo,Lérida,3:1
1965-1966,2,15,12/25/65,NULL,CD Condal,UP Langreo,8:1
1965-1966,2,15,12/26/65,NULL,CE Europa,CF Badalona,1:1
1965-1966,2,15,12/26/65,NULL,Lérida,Baracaldo,0:1
1965-1966,2,15,12/26/65,NULL,Indauchu,CE L’Hospitalet,4:1
1965-1966,2,15,12/26/65,NULL,Real Sociedad,Celta de Vigo,2:1
1965-1966,2,15,12/26/65,NULL,Burgos CF,CA Osasuna,1:3
1965-1966,2,15,12/26/65,NULL,Real Gijón,Dep. La Coruña,2:0
1965-1966,2,15,12/26/65,NULL,Racing,Real Oviedo,0:0
1965-1966,2,16,1/2/66,NULL,CE Europa,Dep. La Coruña,0:1
1965-1966,2,16,1/2/66,NULL,Lérida,CD Condal,3:0
1965-1966,2,16,1/2/66,NULL,Real Sociedad,CF Badalona,3:1
1965-1966,2,16,1/2/66,NULL,Racing,CE L’Hospitalet,2:1
1965-1966,2,16,1/2/66,NULL,Burgos CF,Celta de Vigo,3:2
1965-1966,2,16,1/2/66,NULL,Baracaldo,Real Oviedo,1:1
1965-1966,2,16,1/2/66,NULL,Indauchu,CA Osasuna,0:4
1965-1966,2,16,1/2/66,NULL,Real Gijón,UP Langreo,6:2
1965-1966,2,17,1/6/66,NULL,CE L’Hospitalet,Baracaldo,3:0
1965-1966,2,17,1/6/66,NULL,CF Badalona,Burgos CF,2:1
1965-1966,2,17,1/6/66,NULL,CD Condal,Real Gijón,6:2
1965-1966,2,17,1/6/66,NULL,Real Oviedo,Lérida,0:1
1965-1966,2,17,1/6/66,NULL,UP Langreo,CE Europa,2:0
1965-1966,2,17,1/6/66,NULL,Celta de Vigo,Indauchu,3:1
1965-1966,2,17,1/6/66,NULL,CA Osasuna,Racing,2:0
1965-1966,2,17,1/6/66,NULL,Dep. La Coruña,Real Sociedad,5:1
1965-1966,2,18,1/9/66,NULL,CE Europa,CD Condal,0:0
1965-1966,2,18,1/9/66,NULL,Lérida,Real Gijón,2:2
1965-1966,2,18,1/9/66,NULL,Indauchu,CF Badalona,4:0
1965-1966,2,18,1/9/66,NULL,Real Oviedo,CE L’Hospitalet,2:1
1965-1966,2,18,1/9/66,NULL,Burgos CF,Dep. La Coruña,2:1
1965-1966,2,18,1/9/66,NULL,Racing,Celta de Vigo,1:3
1965-1966,2,18,1/9/66,NULL,Baracaldo,CA Osasuna,2:2
1965-1966,2,18,1/9/66,NULL,Real Sociedad,UP Langreo,5:2
1965-1966,2,19,1/16/66,NULL,CD Condal,Real Sociedad,4:1
1965-1966,2,19,1/16/66,NULL,CF Badalona,Racing,3:0
1965-1966,2,19,1/16/66,NULL,Lérida,CE L’Hospitalet,5:1
1965-1966,2,19,1/16/66,NULL,Real Gijón,CE Europa,3:1
1965-1966,2,19,1/16/66,NULL,Dep. La Coruña,Indauchu,2:0
1965-1966,2,19,1/16/66,NULL,Celta de Vigo,Baracaldo,3:0
1965-1966,2,19,1/16/66,NULL,CA Osasuna,Real Oviedo,1:0
1965-1966,2,19,1/16/66,NULL,UP Langreo,Burgos CF,2:0
1965-1966,2,20,1/23/66,NULL,CE Europa,Lérida,3:2
1965-1966,2,20,1/23/66,NULL,CE L’Hospitalet,CA Osasuna,3:1
1965-1966,2,20,1/23/66,NULL,Burgos CF,CD Condal,3:0
1965-1966,2,20,1/23/66,NULL,Baracaldo,CF Badalona,1:0
1965-1966,2,20,1/23/66,NULL,Racing,Dep. La Coruña,1:1
1965-1966,2,20,1/23/66,NULL,Indauchu,UP Langreo,1:3
1965-1966,2,20,1/23/66,NULL,Real Oviedo,Celta de Vigo,1:1
1965-1966,2,20,1/23/66,NULL,Real Sociedad,Real Gijón,2:2
1965-1966,2,21,1/30/66,NULL,CE Europa,Real Sociedad,2:1
1965-1966,2,21,1/30/66,NULL,CD Condal,Indauchu,1:0
1965-1966,2,21,1/30/66,NULL,CF Badalona,Real Oviedo,1:0
1965-1966,2,21,1/30/66,NULL,CA Osasuna,Lérida,0:0
1965-1966,2,21,1/30/66,NULL,Celta de Vigo,CE L’Hospitalet,4:0
1965-1966,2,21,1/30/66,NULL,Real Gijón,Burgos CF,3:0
1965-1966,2,21,1/30/66,NULL,UP Langreo,Racing,1:1
1965-1966,2,21,1/30/66,NULL,Dep. La Coruña,Baracaldo,1:0
1965-1966,2,22,2/6/66,NULL,CE L’Hospitalet,CF Badalona,2:0
1965-1966,2,22,2/6/66,NULL,Lérida,Real Sociedad,2:1
1965-1966,2,22,2/6/66,NULL,Racing,CD Condal,2:3
1965-1966,2,22,2/6/66,NULL,Burgos CF,CE Europa,1:1
1965-1966,2,22,2/6/66,NULL,Baracaldo,UP Langreo,0:2
1965-1966,2,22,2/6/66,NULL,Indauchu,Real Gijón,2:1
1965-1966,2,22,2/6/66,NULL,CA Osasuna,Celta de Vigo,4:1
1965-1966,2,22,2/6/66,NULL,Real Oviedo,Dep. La Coruña,0:0
1965-1966,2,23,2/13/66,NULL,CD Condal,Baracaldo,3:1
1965-1966,2,23,2/13/66,NULL,CE Europa,Indauchu,0:1
1965-1966,2,23,2/13/66,NULL,CF Badalona,CA Osasuna,1:0
1965-1966,2,23,2/13/66,NULL,Lérida,Celta de Vigo,1:0
1965-1966,2,23,2/13/66,NULL,Dep. La Coruña,CE L’Hospitalet,3:0
1965-1966,2,23,2/13/66,NULL,Real Sociedad,Burgos CF,2:0
1965-1966,2,23,2/13/66,NULL,Real Gijón,Racing,3:3
1965-1966,2,23,2/13/66,NULL,UP Langreo,Real Oviedo,0:1
1965-1966,2,24,2/20/66,NULL,CE L’Hospitalet,UP Langreo,2:1
1965-1966,2,24,2/20/66,NULL,Burgos CF,Lérida,1:0
1965-1966,2,24,2/20/66,NULL,Racing,CE Europa,1:1
1965-1966,2,24,2/20/66,NULL,Real Oviedo,CD Condal,2:0
1965-1966,2,24,2/20/66,NULL,CA Osasuna,Dep. La Coruña,1:0
1965-1966,2,24,2/20/66,NULL,Indauchu,Real Sociedad,2:0
1965-1966,2,24,2/20/66,NULL,Baracaldo,Real Gijón,2:3
1965-1966,2,24,2/22/66,NULL,Celta de Vigo,CF Badalona,3:0
1965-1966,2,25,2/26/66,NULL,CD Condal,CE L’Hospitalet,2:0
1965-1966,2,25,2/27/66,NULL,CE Europa,Baracaldo,1:2
1965-1966,2,25,2/27/66,NULL,Lérida,CF Badalona,1:0
1965-1966,2,25,2/27/66,NULL,Burgos CF,Indauchu,2:1
1965-1966,2,25,2/27/66,NULL,Dep. La Coruña,Celta de Vigo,0:0
1965-1966,2,25,2/27/66,NULL,Real Sociedad,Racing,2:3
1965-1966,2,25,2/27/66,NULL,Real Gijón,Real Oviedo,1:0
1965-1966,2,25,2/28/66,NULL,UP Langreo,CA Osasuna,2:2
1965-1966,2,26,3/6/66,NULL,CF Badalona,Dep. La Coruña,0:1
1965-1966,2,26,3/6/66,NULL,Lérida,Indauchu,1:1
1965-1966,2,26,3/6/66,NULL,CA Osasuna,CD Condal,2:1
1965-1966,2,26,3/6/66,NULL,Celta de Vigo,UP Langreo,1:0
1965-1966,2,26,3/6/66,NULL,CE L’Hospitalet,Real Gijón,4:3
1965-1966,2,26,3/6/66,NULL,Real Oviedo,CE Europa,3:0
1965-1966,2,26,3/6/66,NULL,Racing,Burgos CF,1:0
1965-1966,2,26,3/6/66,NULL,Baracaldo,Real Sociedad,2:2
1965-1966,2,27,3/13/66,NULL,CE Europa,CE L’Hospitalet,2:1
1965-1966,2,27,3/13/66,NULL,Dep. La Coruña,Lérida,1:0
1965-1966,2,27,3/13/66,NULL,Burgos CF,Baracaldo,2:0
1965-1966,2,27,3/13/66,NULL,Real Gijón,CA Osasuna,3:1
1965-1966,2,27,3/13/66,NULL,CD Condal,Celta de Vigo,1:1
1965-1966,2,27,3/13/66,NULL,UP Langreo,CF Badalona,0:0
1965-1966,2,27,3/13/66,NULL,Indauchu,Racing,2:1
1965-1966,2,27,3/13/66,NULL,Real Sociedad,Real Oviedo,0:0
1965-1966,2,28,3/18/66,NULL,Dep. La Coruña,UP Langreo,4:0
1965-1966,2,28,3/19/66,NULL,Baracaldo,Indauchu,1:4
1965-1966,2,28,3/19/66,NULL,CF Badalona,CD Condal,2:0
1965-1966,2,28,3/19/66,NULL,Racing,Lérida,0:0
1965-1966,2,28,3/20/66,NULL,CE L’Hospitalet,Real Sociedad,1:2
1965-1966,2,28,3/20/66,NULL,Celta de Vigo,Real Gijón,2:1
1965-1966,2,28,3/20/66,NULL,Real Oviedo,Burgos CF,0:0
1965-1966,2,28,3/20/66,NULL,CA Osasuna,CE Europa,3:0
1965-1966,2,29,3/27/66,NULL,CD Condal,Dep. La Coruña,2:2
1965-1966,2,29,3/27/66,NULL,Lérida,UP Langreo,2:0
1965-1966,2,29,3/27/66,NULL,Real Gijón,CF Badalona,2:1
1965-1966,2,29,3/27/66,NULL,Indauchu,Real Oviedo,2:1
1965-1966,2,29,3/27/66,NULL,CE Europa,Celta de Vigo,2:0
1965-1966,2,29,3/27/66,NULL,Burgos CF,CE L’Hospitalet,4:2
1965-1966,2,29,3/27/66,NULL,Racing,Baracaldo,1:0
1965-1966,2,29,3/27/66,NULL,Real Sociedad,CA Osasuna,2:0
1965-1966,2,30,4/3/66,NULL,CF Badalona,CE Europa,3:2
1965-1966,2,30,4/3/66,NULL,UP Langreo,CD Condal,0:1
1965-1966,2,30,4/3/66,NULL,Celta de Vigo,Real Sociedad,2:0
1965-1966,2,30,4/3/66,NULL,Dep. La Coruña,Real Gijón,5:1
1965-1966,2,30,4/3/66,NULL,CE L’Hospitalet,Indauchu,0:0
1965-1966,2,30,4/3/66,NULL,Baracaldo,Lérida,0:0
1965-1966,2,30,4/3/66,NULL,CA Osasuna,Burgos CF,1:1
1965-1966,2,30,4/3/66,NULL,Real Oviedo,Racing,1:2
1966-1967,2,1,9/11/66,NULL,Rayo Vallecano,CD Tenerife,2:0
1966-1967,2,1,9/11/66,NULL,Calvo Sotelo,Gimnástica,4:0
1966-1967,2,1,9/11/66,NULL,Real Gijón,Ferrol,1:0
1966-1967,2,1,9/11/66,NULL,CA Osasuna,Indauchu,3:0
1966-1967,2,1,9/11/66,NULL,Celta de Vigo,CD Logroñés,2:0
1966-1967,2,1,9/11/66,NULL,Burgos CF,UP Langreo,0:1
1966-1967,2,1,9/11/66,NULL,Real Valladolid,Real Oviedo,1:2
1966-1967,2,1,9/11/66,NULL,Racing,Real Sociedad,4:0
1966-1967,2,2,9/17/66,NULL,CD Tenerife,Real Gijón,1:1
1966-1967,2,2,9/18/66,NULL,Real Oviedo,Rayo Vallecano,0:1
1966-1967,2,2,9/18/66,NULL,Gimnástica,Racing,2:1
1966-1967,2,2,9/18/66,NULL,Indauchu,Calvo Sotelo,0:0
1966-1967,2,2,9/18/66,NULL,Real Sociedad,Celta de Vigo,2:0
1966-1967,2,2,9/18/66,NULL,CD Logroñés,Real Valladolid,1:0
1966-1967,2,2,9/18/66,NULL,Ferrol,Burgos CF,4:0
1966-1967,2,2,9/18/66,NULL,UP Langreo,CA Osasuna,2:1
1966-1967,2,3,9/25/66,NULL,Rayo Vallecano,CD Logroñés,8:0
1966-1967,2,3,9/25/66,NULL,Racing,Indauchu,2:0
1966-1967,2,3,9/25/66,NULL,Burgos CF,Real Gijón,0:2
1966-1967,2,3,9/25/66,NULL,CA Osasuna,Ferrol,1:5
1966-1967,2,3,9/25/66,NULL,Celta de Vigo,Gimnástica,4:2
1966-1967,2,3,9/25/66,NULL,Calvo Sotelo,UP Langreo,1:0
1966-1967,2,3,9/25/66,NULL,Real Oviedo,CD Tenerife,3:1
1966-1967,2,3,9/25/66,NULL,Real Valladolid,Real Sociedad,3:1
1966-1967,2,4,10/2/66,NULL,Indauchu,Celta de Vigo,1:0
1966-1967,2,4,10/2/66,NULL,Burgos CF,CD Tenerife,2:0
1966-1967,2,4,10/2/66,NULL,Real Gijón,CA Osasuna,4:0
1966-1967,2,4,10/2/66,NULL,Gimnástica,Real Valladolid,1:0
1966-1967,2,4,10/2/66,NULL,Ferrol,Calvo Sotelo,2:1
1966-1967,2,4,10/2/66,NULL,Real Sociedad,Rayo Vallecano,1:0
1966-1967,2,4,10/2/66,NULL,CD Logroñés,Real Oviedo,2:0
1966-1967,2,4,10/2/66,NULL,UP Langreo,Racing,1:2
1966-1967,2,5,10/8/66,NULL,CD Tenerife,CD Logroñés,3:1
1966-1967,2,5,10/9/66,NULL,Racing,Ferrol,1:0
1966-1967,2,5,10/9/66,NULL,Real Valladolid,Indauchu,3:1
1966-1967,2,5,10/9/66,NULL,CA Osasuna,Burgos CF,1:1
1966-1967,2,5,10/9/66,NULL,Rayo Vallecano,Gimnástica,2:1
1966-1967,2,5,10/9/66,NULL,Celta de Vigo,UP Langreo,2:1
1966-1967,2,5,10/9/66,NULL,Calvo Sotelo,Real Gijón,1:0
1966-1967,2,5,10/9/66,NULL,Real Oviedo,Real Sociedad,2:2
1966-1967,2,6,10/15/66,NULL,CD Tenerife,CA Osasuna,1:0
1966-1967,2,6,10/16/66,NULL,Real Sociedad,CD Logroñés,3:0
1966-1967,2,6,10/16/66,NULL,Gimnástica,Real Oviedo,2:1
1966-1967,2,6,10/16/66,NULL,UP Langreo,Real Valladolid,1:1
1966-1967,2,6,10/16/66,NULL,Indauchu,Rayo Vallecano,2:1
1966-1967,2,6,10/16/66,NULL,Real Gijón,Racing,5:1
1966-1967,2,6,10/16/66,NULL,Burgos CF,Calvo Sotelo,0:0
1966-1967,2,6,10/16/66,NULL,Ferrol,Celta de Vigo,0:0
1966-1967,2,7,10/30/66,NULL,CD Logroñés,Gimnástica,2:2
1966-1967,2,7,10/30/66,NULL,Rayo Vallecano,UP Langreo,6:0
1966-1967,2,7,10/30/66,NULL,Celta de Vigo,Real Gijón,0:0
1966-1967,2,7,10/30/66,NULL,Calvo Sotelo,CA Osasuna,1:1
1966-1967,2,7,10/30/66,NULL,Racing,Burgos CF,5:3
1966-1967,2,7,10/30/66,NULL,Real Valladolid,Ferrol,0:1
1966-1967,2,7,10/30/66,NULL,Real Oviedo,Indauchu,5:0
1966-1967,2,7,10/30/66,NULL,Real Sociedad,CD Tenerife,0:0
1966-1967,2,8,11/6/66,NULL,Gimnástica,Real Sociedad,1:1
1966-1967,2,8,11/6/66,NULL,UP Langreo,Real Oviedo,1:2
1966-1967,2,8,11/6/66,NULL,Indauchu,CD Logroñés,0:0
1966-1967,2,8,11/6/66,NULL,Ferrol,Rayo Vallecano,3:0
1966-1967,2,8,11/6/66,NULL,CA Osasuna,Racing,2:1
1966-1967,2,8,11/6/66,NULL,Real Gijón,Real Valladolid,4:1
1966-1967,2,8,11/6/66,NULL,Burgos CF,Celta de Vigo,1:0
1966-1967,2,8,11/6/66,NULL,Calvo Sotelo,CD Tenerife,3:1
1966-1967,2,9,11/13/66,NULL,CD Tenerife,Gimnástica,1:0
1966-1967,2,9,11/13/66,NULL,CD Logroñés,UP Langreo,0:0
1966-1967,2,9,11/13/66,NULL,Rayo Vallecano,Real Gijón,3:1
1966-1967,2,9,11/13/66,NULL,Celta de Vigo,CA Osasuna,3:0
1966-1967,2,9,11/13/66,NULL,Racing,Calvo Sotelo,4:0
1966-1967,2,9,11/13/66,NULL,Real Valladolid,Burgos CF,2:1
1966-1967,2,9,11/13/66,NULL,Real Oviedo,Ferrol,2:1
1966-1967,2,9,11/13/66,NULL,Real Sociedad,Indauchu,1:0
1966-1967,2,10,11/20/66,NULL,UP Langreo,Real Sociedad,0:1
1966-1967,2,10,11/20/66,NULL,Real Gijón,Real Oviedo,5:4
1966-1967,2,10,11/20/66,NULL,Indauchu,Gimnástica,2:0
1966-1967,2,10,11/20/66,NULL,Burgos CF,Rayo Vallecano,1:4
1966-1967,2,10,11/20/66,NULL,CA Osasuna,Real Valladolid,2:1
1966-1967,2,10,11/20/66,NULL,Racing,CD Tenerife,4:2
1966-1967,2,10,11/20/66,NULL,Ferrol,CD Logroñés,0:0
1966-1967,2,10,11/20/66,NULL,Calvo Sotelo,Celta de Vigo,1:3
1966-1967,2,11,11/27/66,NULL,Celta de Vigo,Racing,4:2
1966-1967,2,11,11/27/66,NULL,Real Valladolid,Calvo Sotelo,2:0
1966-1967,2,11,11/27/66,NULL,Real Oviedo,Burgos CF,5:1
1966-1967,2,11,11/27/66,NULL,Real Sociedad,Ferrol,1:0
1966-1967,2,11,11/27/66,NULL,Gimnástica,UP Langreo,3:2
1966-1967,2,11,11/27/66,NULL,CD Logroñés,Real Gijón,0:1
1966-1967,2,11,11/27/66,NULL,Rayo Vallecano,CA Osasuna,3:2
1966-1967,2,11,11/27/66,NULL,Indauchu,CD Tenerife,1:0
1966-1967,2,12,12/4/66,NULL,CD Tenerife,Celta de Vigo,0:0
1966-1967,2,12,12/4/66,NULL,Calvo Sotelo,Rayo Vallecano,2:2
1966-1967,2,12,12/4/66,NULL,Burgos CF,CD Logroñés,4:1
1966-1967,2,12,12/4/66,NULL,Ferrol,Gimnástica,3:0
1966-1967,2,12,12/4/66,NULL,UP Langreo,Indauchu,3:0
1966-1967,2,12,12/4/66,NULL,Racing,Real Valladolid,4:2
1966-1967,2,12,12/4/66,NULL,CA Osasuna,Real Oviedo,4:2
1966-1967,2,12,12/4/66,NULL,Real Gijón,Real Sociedad,2:1
1966-1967,2,13,12/11/66,NULL,Real Sociedad,Burgos CF,2:1
1966-1967,2,13,12/11/66,NULL,CD Logroñés,CA Osasuna,0:4
1966-1967,2,13,12/11/66,NULL,Real Oviedo,Calvo Sotelo,3:1
1966-1967,2,13,12/11/66,NULL,Gimnástica,Real Gijón,0:1
1966-1967,2,13,12/11/66,NULL,Real Valladolid,Celta de Vigo,1:0
1966-1967,2,13,12/11/66,NULL,CD Tenerife,UP Langreo,4:0
1966-1967,2,13,12/11/66,NULL,Rayo Vallecano,Racing,3:0
1966-1967,2,13,12/11/66,NULL,Indauchu,Ferrol,0:1
1966-1967,2,14,12/18/66,NULL,Celta de Vigo,Rayo Vallecano,1:0
1966-1967,2,14,12/18/66,NULL,Burgos CF,Gimnástica,7:2
1966-1967,2,14,12/18/66,NULL,Real Valladolid,CD Tenerife,2:0
1966-1967,2,14,12/18/66,NULL,Racing,Real Oviedo,0:1
1966-1967,2,14,12/18/66,NULL,Calvo Sotelo,CD Logroñés,2:0
1966-1967,2,14,12/18/66,NULL,Ferrol,UP Langreo,0:0
1966-1967,2,14,12/18/66,NULL,Real Gijón,Indauchu,4:0
1966-1967,2,14,12/18/66,NULL,CA Osasuna,Real Sociedad,3:0
1966-1967,2,15,12/31/66,NULL,Real Sociedad,Calvo Sotelo,3:1
1966-1967,2,15,12/31/66,NULL,Indauchu,Burgos CF,2:2
1966-1967,2,15,1/1/67,NULL,Gimnástica,CA Osasuna,2:3
1966-1967,2,15,1/1/67,NULL,UP Langreo,Real Gijón,1:1
1966-1967,2,15,1/1/67,NULL,CD Logroñés,Racing,0:1
1966-1967,2,15,1/1/67,NULL,Real Oviedo,Celta de Vigo,1:1
1966-1967,2,15,1/1/67,NULL,Rayo Vallecano,Real Valladolid,0:1
1966-1967,2,15,1/1/67,NULL,CD Tenerife,Ferrol,2:1
1966-1967,2,16,1/6/67,NULL,UP Langreo,Burgos CF,3:3
1966-1967,2,16,1/8/67,NULL,CD Tenerife,Rayo Vallecano,1:0
1966-1967,2,16,1/8/67,NULL,Gimnástica,Calvo Sotelo,1:0
1966-1967,2,16,1/8/67,NULL,Real Oviedo,Real Valladolid,6:1
1966-1967,2,16,1/8/67,NULL,Real Sociedad,Racing,3:0
1966-1967,2,16,1/8/67,NULL,CD Logroñés,Celta de Vigo,1:2
1966-1967,2,16,1/8/67,NULL,Ferrol,Real Gijón,3:1
1966-1967,2,16,1/8/67,NULL,Indauchu,CA Osasuna,0:1
1966-1967,2,17,1/15/67,NULL,Celta de Vigo,Real Sociedad,0:1
1966-1967,2,17,1/15/67,NULL,Rayo Vallecano,Real Oviedo,0:1
1966-1967,2,17,1/15/67,NULL,Real Valladolid,CD Logroñés,1:3
1966-1967,2,17,1/15/67,NULL,Burgos CF,Ferrol,1:0
1966-1967,2,17,1/15/67,NULL,CA Osasuna,UP Langreo,1:1
1966-1967,2,17,1/15/67,NULL,Real Gijón,CD Tenerife,3:0
1966-1967,2,17,1/15/67,NULL,Racing,Gimnástica,0:1
1966-1967,2,17,1/15/67,NULL,Calvo Sotelo,Indauchu,0:0
1966-1967,2,18,1/22/67,NULL,CD Logroñés,Rayo Vallecano,0:1
1966-1967,2,18,1/22/67,NULL,Indauchu,Racing,2:3
1966-1967,2,18,1/22/67,NULL,Real Gijón,Burgos CF,2:1
1966-1967,2,18,1/22/67,NULL,Ferrol,CA Osasuna,0:2
1966-1967,2,18,1/22/67,NULL,Gimnástica,Celta de Vigo,1:2
1966-1967,2,18,1/22/67,NULL,UP Langreo,Calvo Sotelo,0:1
1966-1967,2,18,1/22/67,NULL,CD Tenerife,Real Oviedo,2:2
1966-1967,2,18,1/22/67,NULL,Real Sociedad,Real Valladolid,2:0
1966-1967,2,19,2/5/67,NULL,Celta de Vigo,Indauchu,4:0
1966-1967,2,19,2/5/67,NULL,CD Tenerife,Burgos CF,2:1
1966-1967,2,19,2/5/67,NULL,CA Osasuna,Real Gijón,1:1
1966-1967,2,19,2/5/67,NULL,Real Valladolid,Gimnástica,2:0
1966-1967,2,19,2/5/67,NULL,Calvo Sotelo,Ferrol,2:1
1966-1967,2,19,2/5/67,NULL,Rayo Vallecano,Real Sociedad,0:1
1966-1967,2,19,2/5/67,NULL,Real Oviedo,CD Logroñés,0:1
1966-1967,2,19,2/5/67,NULL,Racing,UP Langreo,1:2
1966-1967,2,20,2/12/67,NULL,CD Logroñés,CD Tenerife,1:1
1966-1967,2,20,2/12/67,NULL,Ferrol,Racing,2:0
1966-1967,2,20,2/12/67,NULL,Indauchu,Real Valladolid,1:1
1966-1967,2,20,2/12/67,NULL,Burgos CF,CA Osasuna,1:1
1966-1967,2,20,2/12/67,NULL,Gimnástica,Rayo Vallecano,2:1
1966-1967,2,20,2/12/67,NULL,UP Langreo,Celta de Vigo,0:0
1966-1967,2,20,2/12/67,NULL,Real Gijón,Calvo Sotelo,3:0
1966-1967,2,20,2/12/67,NULL,Real Sociedad,Real Oviedo,1:0
1966-1967,2,21,2/19/67,NULL,CD Logroñés,Real Sociedad,0:3
1966-1967,2,21,2/19/67,NULL,Real Oviedo,Gimnástica,3:1
1966-1967,2,21,2/19/67,NULL,Real Valladolid,UP Langreo,2:1
